Date,MyWay,Paper Ticket,Total
02/06/2020,5857,153,6010
03/06/2020,6002,159,6161
04/06/2020,6044,192,6236
05/06/2020,6548,229,6777
06/06/2020,3288,279,3567
07/06/2020,2492,181,2673
09/06/2020,6186,194,6380
08/06/2020,2440,172,2612
10/06/2020,6257,169,6426
18/05/2021,12025,313,12338
13/06/2020,3480,248,3728
14/06/2020,2589,135,2724
12/06/2020,6632,263,6895
16/06/2020,6556,175,6731
17/06/2020,6621,218,6839
15/06/2020,6282,198,6480
19/06/2020,7581,296,7877
18/06/2020,6896,222,7118
22/06/2020,6575,209,6784
21/06/2020,2733,161,2894
20/06/2020,3538,343,3881
23/06/2020,6835,229,7064
24/06/2020,7293,274,7567
26/06/2020,7688,341,8029
28/06/2020,3330,180,3510
27/06/2020,4253,331,4584
25/06/2020,7511,226,7737
29/06/2020,6706,236,6942
04/07/2020,4139,315,4454
05/07/2020,3200,222,3422
02/07/2020,7134,264,7398
06/07/2020,6400,279,6679
03/07/2020,7728,373,8101
30/06/2020,7195,230,7425
01/07/2020,7551,239,7790
07/07/2020,6691,296,6987
08/07/2020,6626,278,6904
12/07/2020,2736,207,2943
11/07/2020,3389,331,3720
09/07/2020,6402,338,6740
10/07/2020,6547,367,6914
13/07/2020,5705,234,5939
15/07/2020,6679,282,6961
14/07/2020,6516,288,6804
16/07/2020,6503,297,6800
17/07/2020,6715,422,7137
19/07/2020,2984,188,3172
08/09/2020,8124,243,8367
18/07/2020,4110,340,4450
09/09/2020,7862,200,8062
07/09/2020,7605,190,7795
13/09/2020,2992,142,3134
21/07/2020,7497,239,7736
23/07/2020,7435,203,7638
24/07/2020,7975,309,8284
26/07/2020,2357,108,2465
22/07/2020,7273,211,7484
25/07/2020,4311,343,4654
10/09/2020,8287,245,8532
27/07/2020,6407,161,6568
29/07/2020,7921,230,8151
31/07/2020,8250,361,8611
28/07/2020,7684,186,7870
01/08/2020,4268,288,4556
02/08/2020,3004,160,3164
30/07/2020,7857,204,8061
03/08/2020,7210,162,7372
04/08/2020,7483,215,7698
05/08/2020,7440,181,7621
06/08/2020,7753,212,7965
07/08/2020,6707,209,6916
09/08/2020,2346,116,2462
12/09/2020,4242,344,4586
08/08/2020,3047,180,3227
10/08/2020,7454,193,7647
11/09/2020,8690,323,9013
11/08/2020,7592,187,7779
18/08/2020,7757,175,7932
14/08/2020,8092,301,8393
15/08/2020,3810,258,4068
17/08/2020,7409,175,7584
12/08/2020,7436,173,7609
16/08/2020,3112,188,3300
13/08/2020,7746,212,7958
22/08/2020,3351,231,3582
20/08/2020,7625,240,7865
23/08/2020,2893,140,3033
21/08/2020,7237,221,7458
19/08/2020,6798,162,6960
24/08/2020,7516,196,7712
25/08/2020,7952,185,8137
27/08/2020,8099,215,8314
28/08/2020,8572,278,8850
29/08/2020,4342,393,4735
30/08/2020,3207,162,3369
26/08/2020,7819,181,8000
31/08/2020,7540,220,7760
01/09/2020,7984,227,8211
02/09/2020,8075,229,8304
06/07/2019,6682,772,7454
14/11/2019,15643,442,16085
28/09/2019,7794,961,8755
04/07/2019,13675,342,14017
21/10/2019,15095,407,15502
28/04/2019,6023,2243,8266
10/06/2019,4276,386,4662
13/08/2019,15798,373,16171
19/05/2019,8241,438,8679
28/11/2019,15181,521,15702
08/05/2019,16945,183,17128
01/11/2019,15975,590,16565
04/06/2019,14223,286,14509
18/07/2019,13433,757,14190
20/05/2019,16980,185,17165
03/09/2019,14524,366,14890
13/11/2019,15468,470,15938
06/10/2019,5884,812,6696
21/11/2019,14267,495,14762
08/07/2019,11943,493,12436
02/05/2019,16647,245,16892
09/02/2020,4152,291,4443
19/10/2019,6829,615,7444
25/04/2019,4866,1313,6179
17/01/2020,12523,704,13227
15/01/2020,11850,528,12378
30/09/2019,14353,677,15030
13/01/2020,11606,427,12033
